Against the Ropes,5.3,Biography,Charles S. Dutton,Meg Ryan,Omar Epps,39000000,5881504,6429865,"Feb 20, 2004"
Agent Cody Banks,5.1,Action,Harald Zwart,Frankie Muniz,Hilary Duff,25000000,47545060,58240458,"Mar 14, 2003"
Agent Cody Banks 2: Destination London,4.5,Action,Kevin Allen,Frankie Muniz,Anthony Anderson,26000000,23514247,28703083,"Mar 12, 2004"
Agora,7.2,Adventure,Alejandro Amenabar,Rachel Weisz,Max Minghella,70000000,619423,38992292,"May 28, 2010"
Ain't Them Bodies Saints,6.4,Crime,David Lowery,Rooney Mara,Casey Affleck,5000000,391611,1075009,"Aug 16, 2013"
Akeelah and the Bee,7.4,Drama,Doug Atchison,Angela Bassett,Laurence Fishburne,8000000,18848430,18959424,"Apr 28, 2006"
Aladdin,7.3,Adventure,Guy Ritchie,Will Smith,Mena Massoud,182000000,350477077,1025627077,"May 24, 2019"
Alatriste,6.1,Adventure,Agustin Diaz Yanes,Viggo Mortensen,Elena Anaya,28000000,0,22860477,"Dec 31, 2007"
Albert Nobbs,6.7,Drama,Rodrigo Garcia,Glenn Close,Mia Wasikowska,7500000,3014696,8539003,"Dec 21, 2011"
Alex & Emma,5.6,Comedy,Rob Reiner,Luke Wilson,Kate Hudson,30000000,14208384,15358583,"Jun 20, 2003"
Alex Cross,5.1,Action,Rob Cohen,Tyler Perry,Matthew Fox,35000000,25888412,35426759,"Oct 19, 2012"
Alexander,5.6,Action,Oliver Stone,Colin Farrell,Anthony Hopkins,155000000,34297191,167297191,"Nov 24, 2004"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2,Comedy,Miguel Arteta,Steve Carell,Jennifer Garner,28000000,66954149,101379287,"Oct 10, 2014"
Alfie,6.2,Comedy,Charles Shyer,Jude Law,Sienna Miller,40000000,13395939,35195939,"Nov 5, 2004"
Ali,6.8,Biography,Michael Mann,Will Smith,Jamie Foxx,109000000,58183966,87683966,"Dec 25, 2001"
Alice in Wonderland,6.4,Adventure,Tim Burton,Mia Wasikowska,Johnny Depp,200000000,334191110,1025491110,"Mar 5, 2010"
Alice Through the Looking Glass,6.2,Adventure,James Bobin,Mia Wasikowska,Johnny Depp,170000000,77042381,276928112,"May 27, 2016"
Alien: Covenant,6.4,Horror,Ridley Scott,Michael Fassbender,Katherine Waterston,97000000,74262031,238521247,"May 19, 2017"
Aliens in the Attic,5.4,Animation,John Schultz,Ashley Tisdale,Robert Hoffman,45000000,25200412,59551283,"Jul 31, 2009"
Alita: Battle Angel,7.4,Action,Robert Rodriguez,Rosa Salazar,Christoph Waltz,170000000,85710210,402971268,"Feb 14, 2019"
All About Steve,4.8,Comedy,Phil Traill,Sandra Bullock,Bradley Cooper,15000000,33862903,40127259,"Sep 4, 2009"
All About the Benjamins,5.8,Action,Kevin Bray,Ice Cube,Mike Epps,14000000,25482931,25873145,"Mar 8, 2002"
All Eyez on Me,5.8,Biography,Benny Boom,Demetrius Shipp Jr.,Danai Gurira,45000000,44922302,54876855,"Jun 16, 2017"
All Good Things,6.3,Crime,Andrew Jarecki,Ryan Gosling,Kirsten Dunst,20000000,582024,873617,"Dec 3, 2010"
All Is Lost,6.9,Action,none,none,none,8500000,6263670,10386814,"Oct 18, 2013"
All or Nothing,7.5,Drama,Mike Leigh,Timothy Spall,Lesley Manville,9000000,184255,184255,"Oct 25, 2002"
All the Boys Love Mandy Lane,5.5,Horror,Jonathan Levine,Amber Heard,Anson Mount,750000,0,1960521,"Oct 11, 2013"
All the King's Men,6.2,Drama,Steven Zaillian,Sean Penn,Jude Law,55000000,7221458,9521458,"Sep 22, 2006"
All the Pretty Horses,5.8,Drama,Billy Bob Thornton,Matt Damon,Penelope Cruz,45000000,15527125,18120267,"Dec 22, 2000"
All the Real Girls,6.8,Drama,David Gordon Green,Zooey Deschanel,Paul Schneider,1000000,549666,703020,"Feb 14, 2003"
